Algorithm	File	Fitness	Time(s)
MemeticAlgorithm (ALL)	GKD-b_1_n25_m2	0	0.157825
MemeticAlgorithm (ALL)	GKD-b_2_n25_m2	0	0.156812
MemeticAlgorithm (ALL)	GKD-b_3_n25_m2	0	0.158938
MemeticAlgorithm (ALL)	GKD-b_4_n25_m2	0	0.156724
MemeticAlgorithm (ALL)	GKD-b_5_n25_m2	0	0.15896
MemeticAlgorithm (ALL)	GKD-b_6_n25_m7	14.0493	0.103791
MemeticAlgorithm (ALL)	GKD-b_7_n25_m7	15.4205	0.106226
MemeticAlgorithm (ALL)	GKD-b_8_n25_m7	18.6137	0.104501
MemeticAlgorithm (ALL)	GKD-b_9_n25_m7	21.2863	0.103276
MemeticAlgorithm (ALL)	GKD-b_10_n25_m7	24.4542	0.104806
MemeticAlgorithm (ALL)	GKD-b_11_n50_m5	5.60063	0.0892702
MemeticAlgorithm (ALL)	GKD-b_12_n50_m5	4.69996	0.0897122
MemeticAlgorithm (ALL)	GKD-b_13_n50_m5	6.61302	0.0881105
MemeticAlgorithm (ALL)	GKD-b_14_n50_m5	3.74495	0.0890126
MemeticAlgorithm (ALL)	GKD-b_15_n50_m5	5.57728	0.0882254
MemeticAlgorithm (ALL)	GKD-b_16_n50_m15	56.8107	0.147378
MemeticAlgorithm (ALL)	GKD-b_17_n50_m15	63.7856	0.143895
MemeticAlgorithm (ALL)	GKD-b_18_n50_m15	57.3125	0.139819
MemeticAlgorithm (ALL)	GKD-b_19_n50_m15	61.1943	0.139655
MemeticAlgorithm (ALL)	GKD-b_20_n50_m15	69.2948	0.136343
MemeticAlgorithm (ALL)	GKD-b_21_n100_m10	26.0127	0.147315
MemeticAlgorithm (ALL)	GKD-b_22_n100_m10	23.4742	0.1521
MemeticAlgorithm (ALL)	GKD-b_23_n100_m10	26.7254	0.146668
MemeticAlgorithm (ALL)	GKD-b_24_n100_m10	26.7751	0.14163
MemeticAlgorithm (ALL)	GKD-b_25_n100_m10	27.3665	0.148461
MemeticAlgorithm (ALL)	GKD-b_26_n100_m30	232.527	0.414212
MemeticAlgorithm (ALL)	GKD-b_27_n100_m30	213.026	0.438632
MemeticAlgorithm (ALL)	GKD-b_28_n100_m30	203.217	0.452131
MemeticAlgorithm (ALL)	GKD-b_29_n100_m30	206.704	0.423692
