Algorithm	File	Fitness	Time(s)
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_1_n25_m2	0	0.699505
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_2_n25_m2	0	0.697877
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_3_n25_m2	0	0.758829
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_4_n25_m2	0	0.703403
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_5_n25_m2	0	0.712797
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_6_n25_m7	23.9807	0.841349
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_7_n25_m7	28.1489	0.783801
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_8_n25_m7	25.4796	0.874946
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_9_n25_m7	34.4656	0.778009
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_10_n25_m7	31.1221	0.800011
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_11_n50_m5	13.8818	1.09503
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_12_n50_m5	14.3203	1.05529
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_13_n50_m5	11.4137	1.04496
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_14_n50_m5	13.3536	1.03316
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_15_n50_m5	10.9285	1.04314
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_16_n50_m15	94.4565	1.35801
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_17_n50_m15	81.6161	1.36041
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_18_n50_m15	95.3722	1.24568
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_19_n50_m15	85.4967	1.19722
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_20_n50_m15	113.589	1.20683
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_21_n100_m10	31.4542	1.57618
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_22_n100_m10	34.577	1.56842
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_23_n100_m10	40.1668	1.61563
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_24_n100_m10	33.1477	1.60752
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_25_n100_m10	35.6832	1.62033
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_26_n100_m30	354.4	2.45706
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_27_n100_m30	300.573	2.4609
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_28_n100_m30	262.979	2.7011
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_29_n100_m30	263.31	2.61675
GenerationalGeneticAlgorithm (Uniform crossover)	GKD-b_30_n100_m30	344.033	2.24337
