Algorithm	File	Fitness	Time(s)	Evals
GreedySearch	GKD-b_1_n25_m2	0	2.57184e-05	1
GreedySearch	GKD-b_2_n25_m2	0	2.4039e-05	1
GreedySearch	GKD-b_3_n25_m2	0	2.5374e-05	1
GreedySearch	GKD-b_4_n25_m2	0	2.23218e-05	1
GreedySearch	GKD-b_5_n25_m2	0	2.20392e-05	1
GreedySearch	GKD-b_6_n25_m7	70.2871	0.000155689	1
GreedySearch	GKD-b_7_n25_m7	46.2892	0.000167436	1
GreedySearch	GKD-b_8_n25_m7	45.2235	0.000146975	1
GreedySearch	GKD-b_9_n25_m7	51.05	0.000159578	1
GreedySearch	GKD-b_10_n25_m7	75.2284	0.000193072	1
GreedySearch	GKD-b_11_n50_m5	25.2057	0.000259522	1
GreedySearch	GKD-b_12_n50_m5	32.1528	0.000264739	1
GreedySearch	GKD-b_13_n50_m5	32.1196	0.000242969	1
GreedySearch	GKD-b_14_n50_m5	30.6587	0.000258753	1
GreedySearch	GKD-b_15_n50_m5	27.2085	0.000239595	1
GreedySearch	GKD-b_16_n50_m15	200.664	0.00117985	1
GreedySearch	GKD-b_17_n50_m15	174.747	0.00109804	1
GreedySearch	GKD-b_18_n50_m15	173.041	0.00112065	1
GreedySearch	GKD-b_19_n50_m15	179.772	0.00116652	1
GreedySearch	GKD-b_20_n50_m15	151.862	0.00110042	1
GreedySearch	GKD-b_21_n100_m10	80.8015	0.00113188	1
GreedySearch	GKD-b_22_n100_m10	72	0.00114594	1
GreedySearch	GKD-b_23_n100_m10	80.0659	0.00113373	1
GreedySearch	GKD-b_24_n100_m10	53.9805	0.00116	1
GreedySearch	GKD-b_25_n100_m10	71.6454	0.00113567	1
GreedySearch	GKD-b_26_n100_m30	425.222	0.0076566	1
GreedySearch	GKD-b_27_n100_m30	433.737	0.00761876	1
GreedySearch	GKD-b_28_n100_m30	461.995	0.00763854	1
GreedySearch	GKD-b_29_n100_m30	365.775	0.00761034	1
GreedySearch	GKD-b_30_n100_m30	343.466	0.00762785	1
GreedySearch	GKD-b_31_n125_m12	61.361	0.00192047	1
GreedySearch	GKD-b_32_n125_m12	78.4384	0.00191816	1
GreedySearch	GKD-b_33_n125_m12	88.5954	0.00188285	1
GreedySearch	GKD-b_34_n125_m12	79.5444	0.00192862	1
GreedySearch	GKD-b_35_n125_m12	85.7423	0.00191471	1
GreedySearch	GKD-b_36_n125_m37	570.694	0.0154642	1
GreedySearch	GKD-b_37_n125_m37	504.446	0.0157192	1
GreedySearch	GKD-b_38_n125_m37	619.296	0.0157324	1
GreedySearch	GKD-b_39_n125_m37	525.938	0.0156833	1
GreedySearch	GKD-b_40_n125_m37	394.107	0.0158349	1
GreedySearch	GKD-b_41_n150_m15	104.976	0.00336673	1
GreedySearch	GKD-b_42_n150_m15	122.394	0.00335373	1
GreedySearch	GKD-b_43_n150_m15	117.269	0.00339988	1
GreedySearch	GKD-b_44_n150_m15	117.791	0.00331761	1
GreedySearch	GKD-b_45_n150_m15	106.885	0.00334638	1
GreedySearch	GKD-b_46_n150_m45	568.589	0.0306051	1
GreedySearch	GKD-b_47_n150_m45	551.435	0.0308601	1
GreedySearch	GKD-b_48_n150_m45	659.081	0.0307767	1
GreedySearch	GKD-b_49_n150_m45	536.653	0.0302633	1
GreedySearch	GKD-b_50_n150_m45	496.676	0.0338598	1
GreedySearch	MEDIA_N25	28.8078	9.42242e-05	1
GreedySearch	MEDIA_N50	102.743	0.000693105	1
GreedySearch	MEDIA_N100	238.869	0.00438593	1
GreedySearch	MEDIA_N125	300.816	0.00879987	1
GreedySearch	MEDIA_N150	338.175	0.0173149	1
GreedySearch	MEDIA_GLOBAL	201.882	0.00625762	1
LocalSearchRandom	GKD-b_1_n25_m2	0	2.9137e-05	46
LocalSearchRandom	GKD-b_2_n25_m2	0	2.72736e-05	46
LocalSearchRandom	GKD-b_3_n25_m2	0	2.7963e-05	46
LocalSearchRandom	GKD-b_4_n25_m2	0	2.64054e-05	46
LocalSearchRandom	GKD-b_5_n25_m2	0	2.7193e-05	46
LocalSearchRandom	GKD-b_6_n25_m7	32.1713	0.000254717	307
LocalSearchRandom	GKD-b_7_n25_m7	29.0354	0.00019668	278.2
LocalSearchRandom	GKD-b_8_n25_m7	52.3337	0.000178201	178.2
LocalSearchRandom	GKD-b_9_n25_m7	37.6179	0.000291813	349.6
LocalSearchRandom	GKD-b_10_n25_m7	41.1712	0.000270818	309
LocalSearchRandom	GKD-b_11_n50_m5	17.3346	0.000308767	427
LocalSearchRandom	GKD-b_12_n50_m5	16.2274	0.000295332	467.2
LocalSearchRandom	GKD-b_13_n50_m5	14.5212	0.000295833	414.2
LocalSearchRandom	GKD-b_14_n50_m5	14.7586	0.000383861	544.2
LocalSearchRandom	GKD-b_15_n50_m5	17.352	0.000351233	484.8
LocalSearchRandom	GKD-b_16_n50_m15	133.513	0.00194293	1415.2
LocalSearchRandom	GKD-b_17_n50_m15	119.931	0.0020041	1559.4
LocalSearchRandom	GKD-b_18_n50_m15	82.0721	0.00223938	1619.6
LocalSearchRandom	GKD-b_19_n50_m15	98.0023	0.00208719	1391
LocalSearchRandom	GKD-b_20_n50_m15	83.5011	0.00165321	1029.8
LocalSearchRandom	GKD-b_21_n100_m10	41.7386	0.00293991	2365.6
LocalSearchRandom	GKD-b_22_n100_m10	41.9944	0.00176427	1527.4
LocalSearchRandom	GKD-b_23_n100_m10	52.9109	0.00211292	2106.6
LocalSearchRandom	GKD-b_24_n100_m10	40.6014	0.00226014	2132.8
LocalSearchRandom	GKD-b_25_n100_m10	39.5917	0.00258044	2164.8
LocalSearchRandom	GKD-b_26_n100_m30	400.921	0.0158815	5527
LocalSearchRandom	GKD-b_27_n100_m30	309.16	0.0172685	6702
LocalSearchRandom	GKD-b_28_n100_m30	374.355	0.0156471	5999.4
LocalSearchRandom	GKD-b_29_n100_m30	288.742	0.0179345	6801
LocalSearchRandom	GKD-b_30_n100_m30	382.004	0.0157667	5603
LocalSearchRandom	GKD-b_31_n125_m12	51.6441	0.00705185	5261.8
LocalSearchRandom	GKD-b_32_n125_m12	48.968	0.00381467	2510
LocalSearchRandom	GKD-b_33_n125_m12	43.5053	0.00502219	3645.4
LocalSearchRandom	GKD-b_34_n125_m12	45.5408	0.00414049	3306.8
LocalSearchRandom	GKD-b_35_n125_m12	49.1967	0.00519679	4189.6
LocalSearchRandom	GKD-b_36_n125_m37	417.489	0.0326577	10233.4
LocalSearchRandom	GKD-b_37_n125_m37	421.686	0.0424098	16712
LocalSearchRandom	GKD-b_38_n125_m37	427.42	0.0410236	13685.2
LocalSearchRandom	GKD-b_39_n125_m37	420.811	0.0328586	9992.2
LocalSearchRandom	GKD-b_40_n125_m37	383.899	0.041957	13751.4
LocalSearchRandom	GKD-b_41_n150_m15	73.0321	0.00702207	3937
LocalSearchRandom	GKD-b_42_n150_m15	67.1398	0.00877443	4940.4
LocalSearchRandom	GKD-b_43_n150_m15	58.3925	0.00821588	4801.6
LocalSearchRandom	GKD-b_44_n150_m15	77.0971	0.00858735	5322.2
